,Compound,Date,Negative,Neutral,Positive,User,text
0,-0.7644,Thu Jan 04 23:30:00 +0000 2018,0.664,0.336,0.0,@Marvel,"Mephisto conquers the City of Sin in ""Doctor Strange: Damnation""! Co-writer @doncates previews the new limited seri… https://t.co/1QoVQrK9UV"
1,0.0,Thu Jan 04 22:45:00 +0000 2018,1.0,0.0,0.0,@Marvel,"We take a look at #SpiderMan in 1994, when Spidey encountered Ben Reilly and the Clone Saga began: https://t.co/fR5o6KQh0H"
2,0.0,Thu Jan 04 21:15:00 +0000 2018,1.0,0.0,0.0,@Marvel,.@TheGiftedonFOX will return for Season 2! Read more: https://t.co/tCxKlSWapF
3,0.0,Thu Jan 04 20:30:53 +0000 2018,1.0,0.0,0.0,@Marvel,"Watch @AgentM? chat with @ClarkGregg? about his ""Marvel's @AgentsofSHIELD?"" directorial debut on a brand new specia… https://t.co/wFbfOtpk4z"
4,0.4753,Thu Jan 04 19:30:02 +0000 2018,0.829,0.0,0.171,@Marvel,"Khan, an alternate future Ms. Marvel, joins the “Exiles” ranks. First issue available April 11th! https://t.co/mmWX46nmIs"
5,0.3164,Thu Jan 04 18:45:00 +0000 2018,0.859,0.0,0.141,@Marvel,The Sentry is the newest combatant in @MarvelChampions! Learn all about his formidable abilities: https://t.co/3pLfELaqNT
6,0.4019,Thu Jan 04 18:00:05 +0000 2018,0.886,0.0,0.114,@Marvel,Watch #BlackPanther go from comic book pages to the big screen in this all-new special look. See the film in theate… https://t.co/a0diS5HsFU
7,0.0,Thu Jan 04 15:16:16 +0000 2018,1.0,0.0,0.0,@Marvel,".@KendrickLamar, @DangerooKipawaa, and @TopDawgEnt will curate and produce ""#BlackPanther: The Album, Music from an… https://t.co/IxLU45dUVb"
8,0.296,Thu Jan 04 01:30:00 +0000 2018,0.872,0.0,0.128,@Marvel,"""Infinity Countdown"" creators @GerryDuggan and @AaronKuder details creating a different kind of story on Infinity S… https://t.co/aABTge8vYM"
9,0.2732,Thu Jan 04 00:30:03 +0000 2018,0.896,0.0,0.104,@Marvel,"We're living for the look on Fitz's face when he sees a certain someone. ""Marvel's @AgentsofSHIELD"" is all-new this… https://t.co/SZSSW1iYjZ"
10,-0.3436,Wed Jan 03 22:00:02 +0000 2018,0.882,0.118,0.0,@Marvel,"Sink your claws into this limited edition Wolverine art print by Dave Wilkins, coming soon to @collectsideshow! Pre… https://t.co/pKXgQeTmFZ"
11,0.0,Wed Jan 03 20:15:00 +0000 2018,1.0,0.0,0.0,@Marvel,"This April, writer @SaladinAhmed and artist @javiercaster leap into the future with ""Exiles""! More details on… https://t.co/OJCb5ZxbSP"
12,0.0,Wed Jan 03 19:30:02 +0000 2018,1.0,0.0,0.0,@Marvel,"She’s back. Blink returns in “Exiles,"" available at your local comic shop April 11th! https://t.co/T2EUpLzMhZ"
13,0.0,Wed Jan 03 18:45:01 +0000 2018,1.0,0.0,0.0,@Marvel,"""Black Panther: The Young Prince"" by author @RonSmithbooks is now available at bookstores! Read an excerpt on… https://t.co/tR7vtd6oDd"
14,0.0,Wed Jan 03 18:00:04 +0000 2018,1.0,0.0,0.0,@Marvel,“Explorers have searched for it. Called it El Dorado.” #BlackPanther https://t.co/gLlieUMq0I
15,0.0,Wed Jan 03 17:28:14 +0000 2018,1.0,0.0,0.0,@Marvel,RT @EW: Black Panther's comic book history unfolds in new behind-the-scenes video https://t.co/FtQ3pYu4i8
16,0.5574,Wed Jan 03 01:00:01 +0000 2018,0.795,0.0,0.205,@Marvel,A classic Fantastic Four tale – with an unusual twist – appears in our final #Kirby100 Spotlight: https://t.co/rVbzUpZ3Ey
17,0.5562,Tue Jan 02 23:15:00 +0000 2018,0.817,0.0,0.183,@Marvel,“Deadpool vs. Old Man Logan” writer @declanshalvey combines the two heroes into one body! Read more: https://t.co/RZ1eXdz2Lc
18,0.1406,Tue Jan 02 22:30:31 +0000 2018,0.838,0.0,0.162,@Marvel,"@thebestofbea We forgive you, but just a little.

??? ??"
19,-0.7269,Tue Jan 02 22:30:00 +0000 2018,0.757,0.243,0.0,@Marvel,This week's #StarWars Spotlight looks back at when the Empire followed up the Death Star with a weapon called The T… https://t.co/kB8dg6C2lP
20,-0.2244,Tue Jan 02 21:45:00 +0000 2018,0.806,0.118,0.076,@Marvel,"Writer @GregPak and artist @csmitharts give the scoop on what to expect when ""Weapon H"" debuts! More on… https://t.co/vHPyTLRR7v"
21,0.0,Tue Jan 02 21:00:06 +0000 2018,1.0,0.0,0.0,@Marvel,"New year, new secrets. An all-new episode of ""Marvel's @Runaways"" is available now, only on Hulu. https://t.co/8GxxrGJP02"
22,0.0056,Tue Jan 02 19:46:07 +0000 2018,0.803,0.098,0.099,@Marvel,"RT @IGN: .@ClarkGregg teases the #AgentsofSHIELD episode he directed: ""It's a little bit like our version of Downton Abbey-meets-a very blo…"
23,0.0,Tue Jan 02 19:15:18 +0000 2018,1.0,0.0,0.0,@Marvel,"Just running a little latte. Watch a new episode of ""Marvel's @Runaways"" now on Hulu. (?: @baristart_mike) https://t.co/kNJJMBZ6qI"
24,0.0,Tue Jan 02 18:30:01 +0000 2018,1.0,0.0,0.0,@Marvel,Start the new year off right with freshly digitized comics on #MarvelUnlimited! Here’s what’s coming this month: https://t.co/5X2dVtJgiw
25,0.7777,Mon Jan 01 20:42:32 +0000 2018,0.673,0.0,0.327,@Marvel,Happy New Year! ? Can you guess which Marvel characters made each of these resolutions? #NewYearsDay https://t.co/DVTXeZqPm6
26,0.0,Mon Jan 01 17:00:12 +0000 2018,1.0,0.0,0.0,@Marvel,Walking into 2018 like... #TheValkyrie #NewYearsDay https://t.co/HgzlzfIFfL
27,-0.2714,Mon Jan 01 15:30:00 +0000 2018,0.901,0.099,0.0,@Marvel,"Get your first look at @HasbroNews’ new Mighty Muggs for Doctor Strange, Black Panther, and Rocket Raccoon! More on… https://t.co/lAAsqTmq33"
28,0.0,Mon Jan 01 02:00:03 +0000 2018,1.0,0.0,0.0,@Marvel,"Shall we, 2018? #NewYearsEve #BlackPanther https://t.co/rdFVf45xOB"
29,0.6696,Sat Dec 30 17:00:01 +0000 2017,0.617,0.078,0.304,@Marvel,Time's running out! Get your limited edition tee and help support The Solutions Project with the @Avengers and… https://t.co/OgGxRwQrqz
30,0.0,Sat Dec 30 00:45:00 +0000 2017,1.0,0.0,0.0,@Marvel,The King bids farewell to Captain America in our latest #Kirby100 spotlight! Read more: https://t.co/VbtFt2MHRp
31,0.0,Fri Dec 29 23:15:00 +0000 2017,1.0,0.0,0.0,@Marvel,We look back at Stryfe’s debut in this week’s #FlashbackFriday on https://t.co/2gXkrpswTj: https://t.co/DmDNVDdA6W
32,0.25,Fri Dec 29 20:00:03 +0000 2017,0.796,0.08,0.124,@Marvel,"ICYMI: Doctor Strange and his Cloak of Levitation face Loki in the latest Marvel &amp; @OriginalFunko animated short, ""… https://t.co/exNZrUdFIK"
33,0.1386,Fri Dec 29 15:19:57 +0000 2017,0.813,0.083,0.103,@Marvel,"RT @AppStore: “At this point, we’re not interested in adding characters who just punch and kick.”

Find out how the creators of Marvel: Con…"
34,0.0,Thu Dec 28 22:45:00 +0000 2017,1.0,0.0,0.0,@Marvel,Jack Kirby closes out his epic “Thor” run by saving all of reality! Read our latest celebration of #Kirby100 here: https://t.co/7hLxXcbRue
35,0.0,Thu Dec 28 21:00:01 +0000 2017,1.0,0.0,0.0,@Marvel,Our look at #SpiderMan’s history touches upon a fateful encounter with Harry Osborn and some Maximum Carnage: https://t.co/Mg6nLp3o64
36,0.68,Thu Dec 28 19:30:00 +0000 2017,0.645,0.0,0.355,@Marvel,"Dream, design, and share your own comics with ""Marvel: Create Your Own""! Learn more: https://t.co/AVN2vdTbe4"
37,0.6114,Thu Dec 28 18:49:51 +0000 2017,0.667,0.0,0.333,@Marvel,"Happy Birthday to the man himself, @TheRealStanLee! ?? https://t.co/Ps94AVsbLT"
38,-0.5106,Thu Dec 28 17:45:00 +0000 2017,0.852,0.148,0.0,@Marvel,"Writer @DavidWalker1201 brings Luke Cage back to prison and into the clutches of the Ringmaster in ""Luke Cage"" #124… https://t.co/3WFnboQls1"
39,0.0,Thu Dec 28 17:00:00 +0000 2017,1.0,0.0,0.0,@Marvel,"Writer @Al_Ewing details bringing the ""Royals"" storyline to its conclusion in ""Inhumans: Judgment Day""! More on… https://t.co/4TQT7pikdU"
40,0.2942,Thu Dec 28 16:11:51 +0000 2017,0.856,0.0,0.144,@Marvel,This SMASH-ing Hulk-inspired mocktail will bring you straight back to summer! ? #GeekiTikis @muddlingmem… https://t.co/zlnoF412Hy
41,0.2244,Thu Dec 28 01:15:00 +0000 2017,0.73,0.116,0.154,@Marvel,Sam Wilson fights tooth and nail to free himself from Mephisto’s snare in “Falcon” #4! Writer @therodneybarnes deta… https://t.co/uuTyk2DUkk
42,0.0,Thu Dec 28 00:30:00 +0000 2017,1.0,0.0,0.0,@Marvel,Explore the history of Monster Island ahead of “Marvel Two-In-One” #2! More on https://t.co/2gXkrpswTj: https://t.co/Kjzn3CH8js
43,-0.5267,Wed Dec 27 22:45:00 +0000 2017,0.848,0.152,0.0,@Marvel,"In today's #Kirby100 installment, we look back at Jack Kirby’s final #XMen comics and the major threat he introduce… https://t.co/O81ugBRnm3"
44,0.0,Wed Dec 27 22:00:02 +0000 2017,1.0,0.0,0.0,@Marvel,Check out these brand new images from #BlackPanther in this week’s issue of @EmpireMagazine! Read more:… https://t.co/OHgulf88U8
45,0.0,Wed Dec 27 21:15:00 +0000 2017,1.0,0.0,0.0,@Marvel,Quicksilver sprints into our therapist’s office for the latest installment of https://t.co/2gXkrpswTj's Psych Ward: https://t.co/kiZ9KQvaa6
