,Compound,Date,Negative,Neutral,Positive,User,text
0,0.0,Fri Jan 05 14:37:47 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"Thoughts on why the end of next week has my attention.  ***PREMIUM VIDEO***

https://t.co/mRwds8BoTv https://t.co/p7AOA2j4xA"
1,0.0,Fri Jan 05 14:34:05 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"Video Discussion for January 5, 2018

https://t.co/vauFhQMhKh https://t.co/NUegEYuVf9"
2,0.4215,Fri Jan 05 13:24:20 +0000 2018,0.823,0.0,0.177,@nynjpaweather,"RT @belmardays: #photo  ""Blizzard Friday-220"" Greetings from the beach @dinalongsb @amyfreeze7 @jamesGweather @nynjpaweather https://t.co/u…"
3,0.5994,Fri Jan 05 13:24:14 +0000 2018,0.83,0.0,0.17,@nynjpaweather,"RT @NJSnowFan: Close up of NJ, Goes 16 satellite. Can clearly see the cold,  Round Valley Reservoir, how it is warmer because it is not fro…"
4,0.4588,Fri Jan 05 13:11:29 +0000 2018,0.864,0.0,0.136,@nynjpaweather,RT @mcadehaven: A little windy still. Can you see the snow waves/drifts out across the frozen bogs :) @Jennife17868376 @JonathanEHoover @ny…
5,0.5994,Fri Jan 05 12:03:04 +0000 2018,0.813,0.0,0.187,@nynjpaweather,RT @GSBImagesMBusch: The #Fireisland #surf #cam is about to deliver a beautiful 11 degree sunrise live here: https://t.co/creLXoE2iL @JimCa…
6,0.0,Fri Jan 05 11:55:21 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @sudbri: Pre Sunrise view from Rockaway New Jersey!! @JamesGWeather @Ginger_Zee @photoweather1 @Erica4NY @JimCantore @JenCarfagno @AmyFr…
7,-0.8271,Fri Jan 05 11:54:07 +0000 2018,0.599,0.401,0.0,@nynjpaweather,"@belmardays No, that's long dead.  They are in no way, shape, or form affiliated with me."
8,0.0,Fri Jan 05 11:47:23 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"More Winter Storms On The Horizon?  ***PREMIUM***

https://t.co/f0MBD8kpAb https://t.co/Rgea6PdEjM"
9,-0.4588,Fri Jan 05 11:24:57 +0000 2018,0.7,0.3,0.0,@nynjpaweather,"Dangerously Cold Conditions Through The Weekend

https://t.co/KdykTZFOrL https://t.co/P3QuhwcMaD"
