,Compound,Date,Negative,Neutral,Positive,User,text
0,0.0,Fri Jan 05 15:34:28 +0000 2018,0.671,0.165,0.165,@realDonaldTrump,The Mercer Family recently dumped the leaker known as Sloppy Steve Bannon. Smart!
1,0.0,Fri Jan 05 14:32:44 +0000 2018,0.826,0.087,0.087,@realDonaldTrump,"Well, now that collusion with Russia is proving to be a total hoax and the only collusion is with Hillary Clinton a… https://t.co/9hkgQun4vG"
2,0.0,Fri Jan 05 11:35:30 +0000 2018,1.0,0.0,0.0,@realDonaldTrump,"Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5… https://t.co/16TbOsy4Ri"
3,-0.4767,Fri Jan 05 04:04:20 +0000 2018,0.871,0.129,0.0,@realDonaldTrump,The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in… https://t.co/skkiYt1Qj2
4,0.0,Fri Jan 05 03:52:53 +0000 2018,1.0,0.0,0.0,@realDonaldTrump,I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spo… https://t.co/G8tBCceHUy
5,0.729,Fri Jan 05 00:11:26 +0000 2018,0.438,0.0,0.562,@realDonaldTrump,MAKING AMERICA GREAT AGAIN! https://t.co/iONbr1DkVk
6,0.765,Thu Jan 04 23:53:05 +0000 2018,0.752,0.0,0.248,@realDonaldTrump,"Thank you to the great Republican Senators who showed up to our mtg on immigration reform. We must BUILD THE WALL,… https://t.co/zKHX30vUMI"
7,0.3595,Thu Jan 04 15:48:04 +0000 2018,0.629,0.138,0.232,@realDonaldTrump,"Dow just crashes through 25,000. Congrats! Big cuts in unnecessary regulations continuing."
8,0.0,Thu Jan 04 11:37:46 +0000 2018,1.0,0.0,0.0,@realDonaldTrump,So beautiful....Show this picture to the NFL players who still kneel! https://t.co/tJLM1tvbvb
9,-0.5106,Thu Jan 04 11:32:22 +0000 2018,0.858,0.142,0.0,@realDonaldTrump,"With all of the failed “experts” weighing in, does anybody really believe that talks and dialogue would be going on… https://t.co/EfxwZcRmLZ"
10,0.5563,Thu Jan 04 11:11:45 +0000 2018,0.826,0.0,0.174,@realDonaldTrump,"As Americans, you need identification, sometimes in a very strong and accurate form, for almost everything you do..… https://t.co/rjfQAe1jUJ"
11,-0.4215,Thu Jan 04 11:02:14 +0000 2018,0.662,0.221,0.118,@realDonaldTrump,Many mostly Democrat States refused to hand over data from the 2016 Election to the Commission On Voter Fraud. They… https://t.co/1IuVCra2M1
12,0.6588,Thu Jan 04 02:13:16 +0000 2018,0.406,0.0,0.594,@realDonaldTrump,MAKE AMERICA GREAT AGAIN!
13,-0.1779,Thu Jan 04 02:11:31 +0000 2018,0.813,0.108,0.079,@realDonaldTrump,"Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. D… https://t.co/nTAj1FDp2U"
14,-0.2732,Thu Jan 04 02:07:37 +0000 2018,0.905,0.095,0.0,@realDonaldTrump,“Some 40 U.S. companies have responded to President Trump’s tax cut and reform victory in Congress last year by han… https://t.co/98ZTvwf2Pe
